,id,name,price,url,category_name,Размер,Материал,Цвет,Класс,Набор,Подсветка,Вес,Объем упаковки,Страна производства,Страна бренда
828,2646,"Елочная игрушка Лесной Ангел 13 см, подвеска",1680.0,/goods/elochnaya-igrushka-lesnoj-angel-blondinka-13-sm-podveska/,Ангелы и Феи,S (7-14 см),Полистоун,белый,премиум,Нет,Нет,0.13,0.0004,Китай,Нидерланды
829,2651,"Елочная игрушка Бык Рафаэль - Рождественская сказка 8 см, подвеска",220.0,/goods/elochnaya-igrushka-byk-rafajel-rozhdestvenskaya-skazka-8-sm-podveska/,Животные,S (7-14 см),Полистоун,черный,эконом,Нет,Нет,0.08,0.0002,Китай,Россия
830,2652,"Стеклянная елочная игрушка-медальон Змея Долли 5 см оранжевая, подвеска",390.0,/goods/steklyannaya-elochnaya-igrushka-medalon-zmeya-dolli-5-sm-krasnaya-podveska/,Животные,XS (до 6 см),Стекло,желтый / оранжевый,стандарт,Нет,Нет,0.03,0.0004,Россия,Россия
831,2656,"Светящаяся елочная игрушка Домик Нельмин 8 см синий, на батарейках, подвеска",320.0,/goods/svetyashhayasya-elochnaya-igrushka-domik-nelmin-8-sm-sinij-na-batarejkah-podveska/,Домики,S (7-14 см),Керамика / Фарфор,синий / голубой,стандарт,Нет,Да,0.11,0.0002,Китай,Нидерланды
832,2670,"Набор елочных игрушек Autumnal Leaves 15 см, 2 шт",1400.0,/goods/nabor-elochnyh-igrushek-autumnal-leaves-8-sm-2-sht-podveska/,"Растения, Листья",M (15-30 см),Пластик,желтый / оранжевый,премиум,Да,Нет,0.02,0.0003,Китай,Нидерланды
833,2671,Коллекционная кукла Эльф Пампеос - Ахейский Балагур 35 см,11950.0,/goods/kollekcionnaya-kukla-jelf-bahus-iz-vinnoj-doliny-luka-maroni-35-sm/,Гномы и Эльфы,L (31-50 см),Текстиль,зеленый,премиум,Нет,Нет,0.66,0.0083,Китай,США
834,2681,"Елочное украшение Олень Джонни из Фелт Форест 20 см, подвеска",420.0,/goods/elochnoe-ukrashenie-olen-dzhonni-iz-felt-forest-20-sm-podveska/,Животные,M (15-30 см),Текстиль,серый,стандарт,Нет,Нет,0.39,0.0016,Китай,Нидерланды
835,2685,"Елочная игрушка из бисера Снежинка Ламберти 21 см, золотая, подвеска",470.0,/goods/elochnaya-igrushka-iz-bisera-snezhinka-lamberti-21-sm-zolotaya-podveska/,Снежинки,M (15-30 см),Металл,золото,стандарт,Нет,Нет,0.02,0.0005,Индия,Нидерланды
836,2689,"Набор елочных игрушек Капля 7.5 см розовый бутон mix, 12 шт, стекло",650.0,/goods/nabor-elochnyh-igrushek-kaplya-75-sm-rozovyj-buton-mix-12-sht-steklo-podveska/,Сосульки,S (7-14 см),Стекло,розовый,стандарт,Да,Нет,0.09,0.0008,Китай,Россия
837,2693,"Набор елочных игрушек Звезды Shiny 7 см, 8 шт, подвеска",430.0,/goods/nabor-elochnyh-igrushek-zvezdy-shiny-7-sm-8-sht-podveska/,Звездочки,S (7-14 см),Пластик,золото,стандарт,Да,Нет,0.11,0.0006,Китай,Нидерланды
838,2695,Гирлянда из колокольчиков с бантом 45 см серебряная,700.0,/goods/grozd-kolokolchikov-s-bantom-45-sm-serebryanaya/,Колокольчики,L (31-50 см),Пластик,серебро,стандарт,Нет,Нет,0.06,0.0025,Китай,Россия
839,2697,"Украшение для уличной елки Бант Торжественный 23 см серебряный, эко-кожа",410.0,/goods/ukrashenie-dlya-ulichnoj-elki-bant-torzhestvennyj-24-sm-serebryanyj-jeko-kozha/,Банты на елку,M (15-30 см),Эко-кожа,серебро,стандарт,Нет,Нет,0.11,0.0028,Россия,Россия
840,2700,"Набор деревянных елочных игрушек Санта и Снеговик Олли 12-15 см, 2 шт, подвеска",900.0,/goods/nabor-derevyannyh-elochnyh-igrushek-santa-i-snegovik-olli-12-15-sm-2-sht-podveska/,"Дед Мороз, Снегурочка и Снеговик",S (7-14 см),Дерево,красный / бордовый,стандарт,Да,Нет,0.15,0.001,Китай,Нидерланды
841,2702,Елочная игрушка Фея Рэй - Copperfrost Tales 8 см,1790.0,/goods/elochnaya-igrushka-feya-rjej-iz-zacharovannogo-lesa-8-sm-podveska/,Ангелы и Феи,S (7-14 см),Полистоун,шоколадный / коричневый,премиум,Нет,Нет,0.08,0.0003,Китай,Нидерланды
842,2709,"Набор деревянных елочных игрушек Лошадка-качалка: Счастливое Детство 7 см, 4 шт, подвеска",2490.0,/goods/nabor-derevyannyh-elochnyh-igrushek-loshadka-kachalka-schastlivoe-detstvo-7-sm-4-sht-podveska/,Символ года 2026,S (7-14 см),Дерево,кремовый / светлое дерево,стандарт,Да,Нет,0.11,0.0009,Китай,Германия
